Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
589,Jhabua,Jhabua,Cotton,Desi,FAQ,4800,4900,4850,2020-01-01
590,Jhabua,Jhabua,Cotton,DCH-32 (Ginned),FAQ,5800,5900,5850,2020-01-01
992,Dhar,Manawar,Cotton,Other,FAQ,4800,5300,5150,2020-01-01
1268,Badwani,Sendhwa,Cotton,H4,FAQ,4400,5401,4911,2020-01-01
201,Badwani,Badwani,Cotton,H4,FAQ,4700,4800,4752,2020-01-02
264,Badwani,Balwadi,Cotton,H4,FAQ,4550,4900,4700,2020-01-02
587,Jhabua,Jhabua,Cotton,Desi,FAQ,4800,5000,4900,2020-01-02
588,Jhabua,Jhabua,Cotton,DCH-32 (Ginned),FAQ,5600,6200,5900,2020-01-02
891,Dhar,Kukshi,Cotton,H4,FAQ,4490,5505,5070,2020-01-02
991,Dhar,Manawar,Cotton,Other,FAQ,4000,5378,4650,2020-01-02
1267,Badwani,Sendhwa,Cotton,H4,FAQ,4100,5401,4995,2020-01-02
55,Alirajpur,Alirajpur,Cotton,Desi,FAQ,4700,4900,4800,2020-01-03
163,Khargone,Badwaha,Cotton,H4,FAQ,3190,5480,4980,2020-01-03
200,Badwani,Badwani,Cotton,H4,FAQ,5000,5075,5028,2020-01-03
263,Badwani,Balwadi,Cotton,H4,FAQ,4700,4800,4750,2020-01-03
329,Khargone,Bhikangaon,Cotton,H4,FAQ,4010,5450,4996,2020-01-03
585,Jhabua,Jhabua,Cotton,Desi,FAQ,4800,4910,4855,2020-01-03
586,Jhabua,Jhabua,Cotton,DCH-32 (Ginned),FAQ,5700,6020,5860,2020-01-03
890,Dhar,Kukshi,Cotton,H4,FAQ,4370,5505,5050,2020-01-03
990,Dhar,Manawar,Cotton,Other,FAQ,4100,5309,4700,2020-01-03
1306,Jhabua,Thandla,Cotton,DCH-32 (Ginned),FAQ,5400,6400,5900,2020-01-03
54,Alirajpur,Alirajpur,Cotton,Desi,FAQ,4700,4850,4800,2020-01-04
162,Khargone,Badwaha,Cotton,H4,FAQ,3200,5500,4990,2020-01-04
199,Badwani,Badwani,Cotton,H4,FAQ,5750,5820,5785,2020-01-04
262,Badwani,Balwadi,Cotton,H4,FAQ,4550,4900,4800,2020-01-04
328,Khargone,Bhikangaon,Cotton,H4,FAQ,4000,5500,4995,2020-01-04
584,Jhabua,Jhabua,Cotton,DCH-32 (Ginned),FAQ,4800,5700,5250,2020-01-04
889,Dhar,Kukshi,Cotton,H4,FAQ,3850,5505,5000,2020-01-04
989,Dhar,Manawar,Cotton,Other,FAQ,4000,5308,4500,2020-01-04
1266,Badwani,Sendhwa,Cotton,H4,FAQ,3899,5425,4973,2020-01-04
1305,Jhabua,Thandla,Cotton,DCH-32 (Ginned),FAQ,5400,6500,5950,2020-01-04
53,Alirajpur,Alirajpur,Cotton,Desi,FAQ,4500,4800,4700,2020-01-05
161,Khargone,Badwaha,Cotton,H4,FAQ,3590,5325,4970,2020-01-05
198,Badwani,Badwani,Cotton,H4,FAQ,3500,5165,4712,2020-01-05
261,Badwani,Balwadi,Cotton,H4,FAQ,4550,4800,4800,2020-01-05
327,Khargone,Bhikangaon,Cotton,H4,FAQ,3800,5490,4950,2020-01-05
582,Jhabua,Jhabua,Cotton,Desi,FAQ,4500,4900,4700,2020-01-05
583,Jhabua,Jhabua,Cotton,DCH-32 (Ginned),FAQ,5700,5900,5800,2020-01-05
888,Dhar,Kukshi,Cotton,H4,FAQ,3900,5250,5050,2020-01-05
1304,Jhabua,Thandla,Cotton,DCH-32 (Ginned),FAQ,5600,6522,6061,2020-01-05
52,Alirajpur,Alirajpur,Cotton,Desi,FAQ,4400,4800,4600,2020-01-06
160,Khargone,Badwaha,Cotton,H4,FAQ,3390,5480,5020,2020-01-06
197,Badwani,Badwani,Cotton,H4,FAQ,5750,5850,5813,2020-01-06
260,Badwani,Balwadi,Cotton,H4,FAQ,4550,4900,4800,2020-01-06
326,Khargone,Bhikangaon,Cotton,H4,FAQ,3850,5500,4970,2020-01-06
887,Dhar,Kukshi,Cotton,H4,FAQ,4225,5450,5090,2020-01-06
988,Dhar,Manawar,Cotton,Other,FAQ,4000,5358,4700,2020-01-06
1265,Badwani,Sendhwa,Cotton,H4,FAQ,4299,5415,4911,2020-01-06
1303,Jhabua,Thandla,Cotton,DCH-32 (Ginned),FAQ,5600,6700,6150,2020-01-06
51,Alirajpur,Alirajpur,Cotton,Desi,FAQ,4500,5000,4700,2020-01-07
196,Badwani,Badwani,Cotton,H4,FAQ,3685,5275,4842,2020-01-07
259,Badwani,Balwadi,Cotton,H4,FAQ,4800,4950,4900,2020-01-07
580,Jhabua,Jhabua,Cotton,Desi,FAQ,4500,5000,4750,2020-01-07
581,Jhabua,Jhabua,Cotton,DCH-32 (Ginned),FAQ,5700,6100,5900,2020-01-07
886,Dhar,Kukshi,Cotton,H4,FAQ,4255,5505,5080,2020-01-07
987,Dhar,Manawar,Cotton,Other,FAQ,4400,5375,4800,2020-01-07
1264,Badwani,Sendhwa,Cotton,H4,FAQ,3999,5435,5111,2020-01-07
1302,Jhabua,Thandla,Cotton,DCH-32 (Ginned),FAQ,5600,6300,5950,2020-01-07
50,Alirajpur,Alirajpur,Cotton,Desi,FAQ,4500,5200,4800,2020-01-08
159,Khargone,Badwaha,Cotton,H4,FAQ,3000,5477,4970,2020-01-08
195,Badwani,Badwani,Cotton,H4,FAQ,4700,5000,4863,2020-01-08
258,Badwani,Balwadi,Cotton,H4,FAQ,4511,4900,4800,2020-01-08
